Battery_ID,Cycle_Index,Discharge_Index,Ambient_Temperature,Discharge_Time_Seconds,Max_Temp_Reached,Min_Voltage_Recorded,Voltage_Drop_Rate_V_per_sec,Internal_Resistance_Re,Cycles_Since_Impedance,Capacity_Ahr,SoH,Baseline_Capacity_Ahr
B0005,58,24,24,3511.594,38.16526204,2.623767464,0.000445288,0.043786628,1,1.825113644,0.983100463,1.856487421
B0005,62,25,24,3431.937,38.27549579,2.50107983,0.000491461,0.044639322,1,1.825581504,0.983352477,1.856487421
B0005,66,26,24,3431.125,37.9821608,2.684998819,0.000438125,0.043558786,1,1.814031128,0.977130848,1.856487421
B0005,70,27,24,3412.406,38.11100192,2.547109116,0.000480667,0.045265478,1,1.814769194,0.977528408,1.856487421
B0005,74,28,24,3410.688,38.18831138,2.471314764,0.000503196,0.044483716,1,1.813969389,0.977097592,1.856487421
B0005,78,29,24,3410.718,37.99854112,2.661390331,0.000447607,0.044414165,1,1.802765665,0.971062688,1.856487421
B0005,82,30,24,3392.719,38.19420165,2.541762355,0.000485129,0.044535446,1,1.80407704,0.971769062,1.856487421
B0005,86,31,24,3470.672,38.457964,2.628919416,0.000452982,0.045021352,3,1.851802552,0.997476488,1.856487421
B0005,90,32,24,3414.109,38.49126352,2.631255269,0.000459378,0.046462516,1,1.830703846,0.986111635,1.856487421
B0005,94,33,24,3395.219,38.31473393,2.654880745,0.000455044,0.047723855,1,1.819904109,0.980294339,1.856487421
B0005,98,34,24,3386,37.86193464,2.674968842,0.000450128,0.04694023,1,1.809307964,0.974586708,1.856487421
B0005,102,35,24,3368.187,37.90665576,2.615970573,0.000470291,0.047027982,1,1.804609905,0.972056091,1.856487421
B0005,106,36,24,3368.266,38.34003239,2.658447162,0.000457573,0.04775538,1,1.799377065,0.969237413,1.856487421
B0005,110,37,24,3358.719,38.07459506,2.697942608,0.000446969,0.047022939,1,1.788443234,0.963347887,1.856487421
B0005,114,38,24,3339.5,38.07252758,2.661727225,0.000460633,0.04624537,1,1.782923048,0.96037443,1.856487421
B0005,118,39,24,3331.265,37.80133585,2.699288288,0.000450264,0.046186103,1,1.773033716,0.955047525,1.856487421
B0005,122,40,24,3321.188,38.39873985,2.612793241,0.000477721,0.04773737,1,1.773037755,0.9550497,1.856487421
B0005,126,41,24,3321.844,38.74929238,2.66370649,0.000462355,0.048383342,1,1.767872111,0.952267218,1.856487421
B0005,130,42,24,3311.828,38.87275465,2.666845429,0.000462796,0.04803751,1,1.76231507,0.949273908,1.856487421
B0005,134,43,24,3327.391,38.50354143,2.684431052,0.000453707,0.04808696,1,1.767617292,0.952129959,1.856487421
B0005,136,44,24,3312.078,38.27009095,2.645224362,0.000469642,0.04808696,3,1.76266836,0.949464209,1.856487421
B0005,140,45,24,3293.172,38.11684755,2.660352724,0.000467253,0.047547282,1,1.751730487,0.943572505,1.856487421
B0005,144,46,24,3275.328,38.04152715,2.692684979,0.000460019,0.047640921,1,1.741849605,0.938250152,1.856487421
B0005,148,47,24,3265.016,38.17980302,2.670544735,0.000468169,0.04842437,1,1.736091351,0.935148459,1.856487421
B0005,150,48,24,3328.937,40.71218199,2.605158061,0.000476203,0.04842437,3,1.793624015,0.966138523,1.856487421
B0005,154,49,24,3329.266,39.88526123,2.672012007,0.000458937,0.049430746,1,1.783189022,0.960517697,1.856487421
B0005,158,50,24,3301.579,39.18287353,2.674271234,0.000461929,0.049748225,1,1.767364208,0.951993635,1.856487421
B0005,162,51,24,3283.563,38.9515648,2.630941673,0.000477555,0.049884866,1,1.757017785,0.946420517,1.856487421
B0005,166,52,24,3275.125,38.60751076,2.662972574,0.00046913,0.049216381,1,1.746870618,0.940954729,1.856487421
B0005,170,53,24,3265.656,38.9203599,2.61294212,0.000485874,0.049945939,1,1.741717251,0.938178859,1.856487421
B0005,174,54,24,3266.093,39.23273115,2.615719844,0.000484856,0.048969605,1,1.736422506,0.935326836,1.856487421
B0005,178,55,24,3257.594,38.96492707,2.628769547,0.000482006,0.050229376,1,1.726321724,0.929886033,1.856487421
B0005,182,56,24,3248.593,38.83927283,2.665510668,0.000471845,0.049715267,1,1.715806539,0.924222012,1.856487421
B0005,186,57,24,3238.766,38.82796378,2.650495153,0.000478114,0.049132166,1,1.710533351,0.9213816,1.856487421
B0005,190,58,24,3240.14,39.14007945,2.643236235,0.000480206,0.049209683,1,1.7060145,0.918947514,1.856487421
B0005,194,59,24,3230.109,39.3496116,2.656450207,0.00047763,0.049506316,1,1.700311027,0.915875329,1.856487421
B0005,198,60,24,3229.781,39.29444536,2.626177688,0.000487054,0.048651763,1,1.69457986,0.912788226,1.856487421
B0005,202,61,24,3212.469,39.10487658,2.658223034,0.000479814,0.049165756,1,1.684902909,0.907575721,1.856487421
B0005,206,62,24,3213.219,39.04626094,2.695100237,0.000468174,0.049234273,1,1.674474159,0.901958257,1.856487421
B0005,210,63,24,3203.578,39.39803219,2.639091814,0.000486924,0.050547586,1,1.674569248,0.902009477,1.856487421
B0005,214,64,24,3195.125,39.10678394,2.685721028,0.000473241,0.050118815,1,1.663716376,0.89616356,1.856487421
B0005,216,65,24,3195.313,39.44448954,2.690178665,0.000472928,0.050118815,3,1.659013869,0.893630547,1.856487421
B0005,220,66,24,3186.297,39.50960202,2.639895313,0.000489422,0.049792567,1,1.653854057,0.890851206,1.856487421
B0005,224,67,24,3176.438,39.33486536,2.689914529,0.000475061,0.049865378,1,1.642653782,0.884818159,1.856487421
B0005,228,68,24,3167.593,39.4372327,2.659358188,0.000485914,0.049811933,1,1.637857843,0.882234819,1.856487421
B0005,232,69,24,3167.719,39.51375236,2.665703059,0.00048402,0.048506735,1,1.632735041,0.879475413,1.856487421
B0005,236,70,24,3159.078,39.60170303,2.642986759,0.000492737,0.050023074,1,1.627752892,0.87679177,1.856487421
B0005,240,71,24,3148.829,39.6874636,2.631116912,0.000497857,0.05020469,1,1.622125486,0.873760559,1.856487421
B0005,244,72,24,3149.094,39.53535076,2.696157405,0.000477264,0.049758573,1,1.61132566,0.867943215,1.856487421
B0005,248,73,24,3140.547,39.65023716,2.666759624,0.000487734,0.049686755,1,1.60656314,0.865377875,1.856487421
B0005,252,74,24,3131.625,39.69929058,2.640318545,0.000497637,0.049950057,1,1.601514223,0.862658268,1.856487421
B0005,256,75,24,3121.907,39.5607631,2.698929864,0.000480434,0.050282564,1,1.590369231,0.856655,1.856487421
B0005,260,76,24,3122.125,39.63708096,2.66824665,0.000490213,0.049920078,1,1.585788997,0.854187849,1.856487421
B0005,264,77,24,3121.672,39.43977048,2.647920728,0.000497294,0.050079964,1,1.584943071,0.85373219,1.856487421
B0005,266,78,24,3120.86,39.83902226,2.674163386,0.000489276,0.050079964,3,1.595526389,0.859432911,1.856487421
B0005,270,79,24,3103.828,39.4179495,2.689252896,0.000486141,0.054873202,1,1.574730175,0.848230996,1.856487421
B0005,274,80,24,3095.094,39.26278168,2.688809123,0.000487777,0.0552405,1,1.564901995,0.842937031,1.856487421
B0005,278,81,24,3095.781,39.4723784,2.674355599,0.00049244,0.055080368,1,1.559765947,0.84017049,1.856487421
B0005,282,82,24,3094.328,40.03754147,2.643029496,0.000502562,0.054845785,1,1.559481567,0.840017309,1.856487421
B0005,286,83,24,3086.531,40.14273016,2.658485845,0.000498888,0.058089493,1,1.554689354,0.837435975,1.856487421
B0005,290,84,24,3085.625,40.11656267,2.629782174,0.000508249,0.056399994,1,1.548874108,0.834303583,1.856487421
B0005,294,85,24,3067.203,39.87503331,2.662296765,0.000501027,0.057159148,1,1.538236599,0.828573672,1.856487421
B0005,298,86,24,3058.157,39.61961987,2.682380967,0.000495491,0.056998794,1,1.527914258,0.823013526,1.856487421
B0005,302,87,24,3058.812,40.06732467,2.640189477,0.000509156,0.057915947,1,1.528525263,0.823342645,1.856487421
B0005,306,88,24,3058.578,40.24716717,2.693769409,0.000491803,0.058583189,1,1.522647325,0.820176484,1.856487421
B0005,310,89,24,3049.328,40.30253126,2.695787451,0.000492691,0.056844112,1,1.517485994,0.817396324,1.856487421
B0005,313,90,24,3177.219,40.09418103,2.692054817,0.000481826,0.056672035,1,1.605818899,0.864976989,1.856487421
B0005,316,91,24,3082.937,40.52238496,2.629071246,0.000509693,0.058223362,2,1.563849145,0.842369912,1.856487421
B0005,320,92,24,3074.266,40.56886357,2.631343871,0.000509724,0.058693616,1,1.548091525,0.833882044,1.856487421
B0005,324,93,24,3066,40.27804846,2.698397004,0.000489223,0.056873551,1,1.532375563,0.825416615,1.856487421
B0005,328,94,24,3056.437,40.29218492,2.633848587,0.000511715,0.058401227,1,1.526952827,0.822495649,1.856487421
B0005,332,95,24,3048.219,40.18438435,2.671566208,0.000500748,0.057139262,1,1.516957302,0.817111543,1.856487421
B0005,336,96,24,3039.218,40.32006623,2.654081051,0.000507972,0.056846751,1,1.511897596,0.814386125,1.856487421
B0005,340,97,24,3039.047,40.33650561,2.656849704,0.000507031,0.059714583,1,1.506563896,0.811513118,1.856487421
B0005,344,98,24,3030.375,40.43267632,2.636304861,0.000515299,0.057876489,1,1.501545353,0.808809872,1.856487421
B0005,348,99,24,3021,40.31453859,2.699516923,0.000495793,0.057106053,1,1.490844405,0.803045789,1.856487421
B0005,352,100,24,3021.75,40.38666186,2.698216006,0.000496173,0.058324401,1,1.485868385,0.800365447,1.856487421
B0005,356,101,24,3012.265,40.43384613,2.69117076,0.000500044,0.058539887,1,1.480413678,0.79742726,1.856487421
B0005,360,102,24,3002.641,40.44479269,2.690162319,0.000502076,0.057610002,1,1.475209587,0.794624068,1.856487421
B0005,364,103,24,3012,40.58499656,2.635503445,0.000516916,0.056877441,1,1.485903599,0.800384415,1.856487421
B0005,367,104,24,3020.11,40.99869159,2.659475366,0.000511031,0.058412258,2,1.49609183,0.805872323,1.856487421
B0005,371,105,24,3002.172,40.99780763,2.644555,0.000517425,0.060197891,1,1.480800595,0.797635674,1.856487421
B0005,375,106,24,2992.703,40.84213757,2.671960167,0.000509926,0.059883524,1,1.469754327,0.791685583,1.856487421
B0005,379,107,24,2964.468,40.69012464,2.659821103,0.000516903,0.05887512,1,1.453901227,0.783146285,1.856487421
B0005,383,108,24,2983.375,40.6993805,2.688360456,0.00050568,0.058445186,1,1.454146207,0.783278244,1.856487421
B0005,387,109,24,2975.297,41.06026204,2.637672862,0.000524294,0.060551211,1,1.455023752,0.783750935,1.856487421
B0005,391,110,24,2974.985,41.1969604,2.645120521,0.000521443,0.059950256,1,1.449042164,0.780528943,1.856487421
B0005,395,111,24,2966.25,40.84446689,2.698012438,0.000505381,0.059565013,1,1.438670937,0.774942464,1.856487421
B0005,399,112,24,2956.359,40.76420383,2.692894277,0.000508739,0.059853349,1,1.433445432,0.772127737,1.856487421
B0005,403,113,24,2956.344,41.11212504,2.648392366,0.000523861,0.05874548,1,1.43339589,0.772101052,1.856487421
B0005,407,114,24,2956.406,41.27256612,2.683213476,0.000511781,0.060837671,1,1.428064873,0.769229491,1.856487421
B0005,411,115,24,2947.266,41.15574924,2.684960445,0.000512964,0.059937628,1,1.422920318,0.766458368,1.856487421
B0005,415,116,24,2937.984,41.03237217,2.669922121,0.000519508,0.059595887,1,1.417429033,0.763500478,1.856487421
B0005,419,117,24,2929.125,40.93726991,2.664105531,0.000523178,0.058400744,1,1.412409229,0.760796552,1.856487421
B0005,423,118,24,2928.454,41.24070461,2.634098606,0.000533651,0.062605064,1,1.412578793,0.760887888,1.856487421
B0005,427,119,24,2929.375,41.43649988,2.68378703,0.000516495,0.061151954,1,1.407598373,0.758205177,1.856487421
B0005,431,120,24,2946.031,41.16703904,2.660031949,0.00051909,0.059630601,1,1.433392049,0.772098983,1.856487421
B0005,433,121,24,2955.438,41.3621656,2.650011641,0.00052484,0.059630601,3,1.438255018,0.774718429,1.856487421
B0005,437,122,24,2937.625,41.02198773,2.693696908,0.000511716,0.06098667,1,1.417354717,0.763460447,1.856487421
B0005,441,123,24,2929.078,40.78818813,2.69707313,0.000512048,0.061004257,1,1.406981664,0.757872985,1.856487421
B0005,445,124,24,2918.375,40.81506139,2.680699552,0.000519464,0.062329148,1,1.401203778,0.754760718,1.856487421
B0005,449,125,24,2919.812,40.85837422,2.669539808,0.00052291,0.061502763,1,1.396700823,0.752335193,1.856487421
B0005,453,126,24,2900.422,40.83987677,2.671695308,0.000525608,0.06141908,1,1.391284789,0.749417838,1.856487421
B0005,457,127,24,2901.375,40.85376069,2.661289186,0.000528881,0.061216651,1,1.386228768,0.746694404,1.856487421
B0005,461,128,24,2901.187,40.74795214,2.667817534,0.000526556,0.06270407,1,1.380436676,0.743574484,1.856487421
B0005,465,129,24,2891.64,40.68794001,2.684008069,0.000523072,0.061726136,1,1.375236415,0.740773355,1.856487421
B0005,469,130,24,2882.906,40.78107495,2.658525621,0.000532737,0.061852237,1,1.370512802,0.738228973,1.856487421
B0005,473,131,24,2883.265,40.8815934,2.637225058,0.000540581,0.063103581,1,1.370508557,0.738226686,1.856487421
B0005,477,132,24,2882.969,40.81191474,2.651425774,0.000535614,0.062287461,1,1.364735511,0.735117026,1.856487421
B0005,481,133,24,2891.656,41.11793533,2.676384659,0.000522918,0.062705499,1,1.375392017,0.74085717,1.856487421
B0005,483,134,24,2901.25,41.24879536,2.69491385,0.000518891,0.062705499,3,1.386111515,0.746631245,1.856487421
B0005,485,135,24,2891.703,41.16242984,2.697334372,0.000519016,0.062705499,5,1.369850004,0.737871956,1.856487421
B0005,489,136,24,2883.016,41.16437555,2.64254026,0.000538733,0.053286382,1,1.364782795,0.735142495,1.856487421
B0005,493,137,24,2873.453,40.86421618,2.699226258,0.000520812,0.052931475,1,1.354322047,0.729507796,1.856487421
B0005,497,138,24,2874.031,41.25434554,2.67648033,0.000528676,0.055889293,1,1.354641702,0.729679979,1.856487421
B0005,501,139,24,2874.234,41.45023192,2.642142168,0.000540555,0.058417784,1,1.354703921,0.729713493,1.856487421
B0005,505,140,24,2864.984,41.27708509,2.644725255,0.00054155,0.056411433,1,1.349314998,0.726810741,1.856487421
B0005,509,141,24,2855.093,41.06460515,2.632270655,0.000547913,0.05568016,1,1.344189194,0.724049718,1.856487421
B0005,513,142,24,2855.625,40.99284868,2.639100612,0.000545152,0.056210258,1,1.338991379,0.721249907,1.856487421
B0005,517,143,24,2855.594,41.29040553,2.637841831,0.000545652,0.055794521,1,1.338914523,0.721208508,1.856487421
B0005,521,144,24,2847.437,41.22740228,2.668286096,0.000536595,0.057799715,1,1.334006676,0.718564888,1.856487421
B0005,525,145,24,2847.36,41.04619551,2.649019813,0.00054314,0.055775295,1,1.328644431,0.715676506,1.856487421
B0005,529,146,24,2837.328,40.85874389,2.664058512,0.000539834,0.056559391,1,1.323170899,0.712728179,1.856487421
B0005,533,147,24,2837.281,40.79196925,2.688361169,0.000531321,0.053344247,1,1.318169159,0.710033984,1.856487421
B0005,537,148,24,2838.515,41.14127834,2.686975384,0.000531395,0.056262479,1,1.318466444,0.710194117,1.856487421
B0005,541,149,24,2828.328,41.14429319,2.650753682,0.000546369,0.05339425,1,1.31829304,0.710100712,1.856487421
B0005,545,150,24,2838.265,40.66184231,2.664632279,0.000535504,0.058545252,1,1.323872422,0.713106056,1.856487421
B0005,548,151,24,2864.547,41.04669454,2.640021184,0.000545014,0.057849417,2,1.360121677,0.732631776,1.856487421
B0005,552,152,24,2846.39,41.04620532,2.674198661,0.000534538,0.061423857,1,1.339530687,0.721540406,1.856487421
B0005,556,153,24,2837.969,40.86830264,2.696427051,0.000528306,0.05952338,1,1.329028657,0.71588347,1.856487421
B0005,560,154,24,2838.156,40.85283588,2.69283403,0.000529756,0.059261591,1,1.323674127,0.712999244,1.856487421
B0005,564,155,24,2829.843,40.85270645,2.681747855,0.000535028,0.059523785,1,1.318633897,0.710284315,1.856487421
B0005,568,156,24,2829.625,40.82632518,2.696791414,0.000529754,0.059676648,1,1.313475132,0.707505538,1.856487421
B0005,572,157,24,2819.437,40.90308837,2.664695973,0.000543248,0.059759885,1,1.313202063,0.707358449,1.856487421
B0005,576,158,24,2819.579,40.84337405,2.679191623,0.000537817,0.059502592,1,1.307795995,0.704446462,1.856487421
B0005,580,159,24,2810.672,40.81792111,2.699983458,0.000532028,0.059555981,1,1.303032919,0.701880823,1.856487421
B0005,584,160,24,2811.485,40.94699385,2.666300787,0.000543877,0.059491365,1,1.303357356,0.702055582,1.856487421
B0005,588,161,24,2802.422,41.07493806,2.630850137,0.000558387,0.060521149,1,1.303410044,0.702083962,1.856487421
B0005,592,162,24,2801.625,41.02476445,2.67334814,0.000543332,0.059826779,1,1.297887081,0.699109009,1.856487421
B0005,596,163,24,2802.031,41.06214199,2.632763831,0.000557918,0.057944394,1,1.298073506,0.699209427,1.856487421
B0005,600,164,24,2793.39,40.98366326,2.668737118,0.000546971,0.061759312,1,1.293463614,0.696726301,1.856487421
B0005,604,165,24,2793.39,40.98234243,2.696396338,0.000536705,0.05898908,1,1.288003393,0.693785144,1.856487421
B0005,608,166,24,2792.485,41.06375086,2.679483486,0.000543021,0.057630297,1,1.287452522,0.693488417,1.856487421
B0005,612,167,24,2802.016,41.04702959,2.678713741,0.000537511,0.057823749,1,1.309015364,0.705103277,1.856487421
B0005,614,168,24,2820.39,41.0510077,2.65537837,0.00054836,0.057823749,3,1.325079329,0.713756158,1.856487421
B0006,2,1,24,3690.234,39.16298653,2.475767757,0.000461774,0.06123359,0,2.035337591,1,2.035337591
B0006,4,2,24,3672.344,39.24620268,2.351525512,0.000497165,0.06123359,0,2.025140246,0.994989851,2.035337591
B0006,6,3,24,3651.641,38.99920246,2.440479715,0.000475852,0.06123359,0,2.013326371,0.98918547,2.035337591
B0006,8,4,24,3631.563,38.84362777,2.479155854,0.000467955,0.06123359,0,2.013284666,0.989164979,2.035337591
B0006,10,5,24,3629.172,38.97798888,2.280187848,0.000523001,0.06123359,0,2.000528338,0.982897553,2.035337591
B0006,12,6,24,3652.281,38.83989921,2.439284257,0.000480229,0.06123359,0,2.013899076,0.989466851,2.035337591
B0006,14,7,24,3650.828,39.04610837,2.281206845,0.000523861,0.06123359,0,2.013101106,0.989074793,2.035337591
B0006,16,8,24,3572.453,38.87507521,2.366410527,0.000506771,0.06123359,0,1.968789826,0.96730382,2.035337591
B0006,18,9,24,3550.594,38.72605398,2.43602005,0.000490157,0.06123359,0,1.968166176,0.966997409,2.035337591
B0006,20,10,24,3551.25,38.98629729,2.186437749,0.000560496,0.06123359,0,1.957230792,0.961624647,2.035337591
B0006,22,11,24,3530.25,38.65978862,2.340602361,0.000520353,0.06123359,0,1.945599151,0.955909801,2.035337591
B0006,25,12,24,3491.016,38.84979196,2.426302137,0.000501772,0.06123359,0,1.934750504,0.950579654,2.035337591
B0006,27,13,24,3470.281,38.75128344,2.47536977,0.000490147,0.06123359,0,1.923279954,0.944943955,2.035337591
B0006,29,14,24,3470,38.76853764,2.342364524,0.000528999,0.06123359,0,1.911889931,0.939347821,2.035337591
B0006,31,15,24,3450.297,38.84686112,2.188400082,0.000576484,0.06123359,0,1.901066714,0.934030169,2.035337591
B0006,33,16,24,3429.407,38.86588978,2.120698095,0.000599205,0.06123359,0,1.889198995,0.928199333,2.035337591
B0006,35,17,24,3409.484,38.64757873,2.369981458,0.000530174,0.06123359,0,1.878278372,0.922833824,2.035337591
B0006,37,18,24,3390.422,38.79218188,2.24799165,0.000568768,0.06123359,0,1.867569716,0.917572458,2.035337591
B0006,39,19,24,3390.281,38.77022224,2.411531711,0.000520877,0.06123359,0,1.867589257,0.917582059,2.035337591
B0006,42,20,24,3591.734,37.543206,2.203355847,0.000548824,0.06123359,1,1.979626548,0.972628107,2.035337591
B0006,46,21,24,3552.297,37.90362578,2.358877512,0.000511316,0.060629915,1,1.957549908,0.961781435,2.035337591
B0006,50,22,24,3531.578,37.67016051,2.218672914,0.000554581,0.060859872,1,1.945815017,0.95601586,2.035337591
B0006,54,23,24,3492.907,37.34166959,2.339723058,0.000525911,0.060064508,1,1.924246112,0.945418647,2.035337591
B0006,58,24,24,3511.594,37.28979017,2.399750821,0.00050992,0.059131309,1,1.945981133,0.956097476,2.035337591
B0006,62,25,24,3431.937,37.16794481,2.491410879,0.00049114,0.060596988,1,1.901407931,0.934197815,2.035337591
B0006,66,26,24,3431.125,37.51577849,2.138730331,0.000593019,0.060435509,1,1.878674214,0.923028309,2.035337591
B0006,70,27,24,3412.406,37.24165964,2.346064498,0.000536394,0.05988227,1,1.868306133,0.917934274,2.035337591
B0006,74,28,24,3410.688,37.27233216,2.327337743,0.000542097,0.060587215,1,1.856024407,0.911900028,2.035337591
B0006,78,29,24,3410.718,37.2071345,2.486311723,0.000494484,0.060908365,1,1.845199796,0.906581691,2.035337591
B0006,82,30,24,3392.719,37.4960777,2.292166351,0.00055885,0.060369152,1,1.857228891,0.912491814,2.035337591
B0006,86,31,24,3470.672,37.25007396,2.434300686,0.000505865,0.062091447,3,1.924776089,0.945679035,2.035337591
B0006,90,32,24,3414.109,37.39699052,2.472619908,0.000502141,0.062320032,1,1.882231753,0.924776195,2.035337591
B0006,94,33,24,3395.219,37.28520664,2.403422073,0.000525168,0.061891223,1,1.855276688,0.91153266,2.035337591
B0006,98,34,24,3386,37.08039042,2.400667978,0.000527777,0.061716421,1,1.839250892,0.903658882,2.035337591
B0006,102,35,24,3368.187,36.98024266,2.319429943,0.000553634,0.061998785,1,1.818539607,0.893483034,2.035337591
B0006,106,36,24,3368.266,37.59874125,2.340173173,0.000548237,0.062504061,1,1.813477006,0.890995682,2.035337591
B0006,110,37,24,3358.719,37.33680915,2.382960351,0.000536967,0.062013887,1,1.797101845,0.882950255,2.035337591
B0006,114,38,24,3339.5,37.3949982,2.351855541,0.00054885,0.061830192,1,1.781004629,0.875041387,2.035337591
B0006,118,39,24,3331.265,37.35233964,2.353510484,0.000550122,0.062826947,1,1.771013042,0.870132331,2.035337591
B0006,122,40,24,3321.188,37.58677382,2.394805822,0.000539437,0.063498176,1,1.760471245,0.864952946,2.035337591
B0006,126,41,24,3321.844,38.20704457,2.441885844,0.000524967,0.06094514,1,1.750291379,0.859951384,2.035337591
B0006,130,42,24,3311.828,38.34043189,2.391848815,0.000541437,0.06391758,1,1.739492504,0.854645692,2.035337591
B0006,134,43,24,3327.391,38.52153967,2.316615423,0.000558698,0.06223664,1,1.754676655,0.862105954,2.035337591
B0006,136,44,24,3312.078,38.0370716,2.411098996,0.00053761,0.06223664,3,1.765939094,0.867639404,2.035337591
B0006,140,45,24,3293.172,37.93428569,2.451012518,0.000526682,0.062031064,1,1.733788742,0.851843325,2.035337591
B0006,144,46,24,3275.328,37.88470784,2.471216186,0.000522997,0.06250649,1,1.713325912,0.841789549,2.035337591
B0006,148,47,24,3265.016,38.06536873,2.470968641,0.000525226,0.062615333,1,1.702407781,0.836425264,2.035337591
B0006,150,48,24,3328.937,39.78844048,2.428802394,0.000523925,0.062615333,3,1.823719462,0.896027996,2.035337591
B0006,154,49,24,3329.266,39.21290318,2.355143087,0.000550223,0.064572462,1,1.808128405,0.888367813,2.035337591
B0006,158,50,24,3301.579,38.66937823,2.365933526,0.000551434,0.063686158,1,1.775761095,0.872465139,2.035337591
B0006,162,51,24,3283.563,38.51700652,2.348196139,0.000558566,0.062912098,1,1.744740984,0.85722437,2.035337591
B0006,166,52,24,3275.125,38.2925053,2.469459486,0.000524103,0.063667412,1,1.729207034,0.849592245,2.035337591
B0006,170,53,24,3265.656,38.52091685,2.466671588,0.00052577,0.064545869,1,1.708108655,0.839226211,2.035337591
B0006,174,54,24,3266.093,38.95436345,2.448293126,0.000531552,0.064417308,1,1.697595424,0.834060861,2.035337591
B0006,178,55,24,3257.594,38.73136385,2.474521538,0.000524992,0.065173629,1,1.682063452,0.826429708,2.035337591
B0006,182,56,24,3248.593,38.74827601,2.469127855,0.000528447,0.06359516,1,1.671476832,0.821228301,2.035337591
B0006,186,57,24,3238.766,38.84227057,2.417717335,0.000545883,0.065285475,1,1.660759139,0.815962495,2.035337591
B0006,190,58,24,3240.14,39.221382,2.377513108,0.000557807,0.066533963,1,1.651121015,0.811227102,2.035337591
B0006,194,59,24,3230.109,39.4665109,2.443723815,0.000538943,0.066341125,1,1.640134926,0.805829428,2.035337591
B0006,198,60,24,3229.781,39.35265348,2.432427826,0.000542502,0.065909962,1,1.629199942,0.800456862,2.035337591
B0006,202,61,24,3212.469,39.31890647,2.494085642,0.000525185,0.066056236,1,1.60884963,0.790458368,2.035337591
B0006,206,62,24,3213.219,39.47196887,2.382347173,0.000560265,0.065902743,1,1.60352449,0.787842025,2.035337591
B0006,210,63,24,3203.578,39.74009699,2.406668298,0.000554793,0.067911721,1,1.598971214,0.785604914,2.035337591
B0006,214,64,24,3195.125,39.03600072,2.420414269,0.000551468,0.066743773,1,1.587627312,0.78003144,2.035337591
